Time,Heading angle,CoG position/X,CoG position/Y,CoG position/Yaw,CoG Acceleration/X,CoG Acceleration/Y,Speed/X,Speed/Y,Slip angle
s,бу,m,m,бу,m/s?,m/s?,km/h,km/h,бу
5.302,-180.192,-140.145,-103.888,179.936,1.1459,0.0879887,11.836,-0.0264471,-0.128034
5.402,-180.005,-140.479,-103.887,179.934,1.02327,0.126586,12.2249,0.0130884,0.0613816
5.502,-179.854,-140.823,-103.888,179.968,0.933001,0.0518768,12.575,0.0388872,0.177224
5.602,-179.816,-141.177,-103.889,-179.993,0.903534,0.013065,12.9041,0.0398203,0.176817
5.702,-179.794,-141.54,-103.89,-179.952,0.881344,0.0233698,13.2253,0.0365734,0.158451
5.802,-179.753,-141.912,-103.892,-179.911,0.876179,0.031583,13.5419,0.037188,0.157347
5.902,-179.709,-142.293,-103.893,-179.868,0.872716,0.0314213,13.857,0.0385001,0.159195
6.0015,-179.669,-142.68,-103.895,-179.826,0.870203,0.0305198,14.1685,0.0386766,0.156407
6.102,-179.655,-143.08,-103.898,-179.785,0.834129,-0.00278631,14.4792,0.0328345,0.129932
6.2015,-179.695,-143.484,-103.9,-179.761,0.729696,-0.0142831,14.7605,0.0170152,0.0660455
6.3015,-179.697,-143.898,-103.902,-179.745,0.803679,0.0112712,15.0034,0.0124233,0.0474421
6.402,-179.677,-144.323,-103.905,-179.728,1.90129,0.0181336,15.5444,0.0140527,0.0517985
6.502,-179.657,-144.762,-103.907,-179.711,0.256144,0.0153177,15.9738,0.0152691,0.0547752
6.602,-179.639,-145.206,-103.91,-179.694,-0.133616,0.0130708,15.9513,0.015494,0.055656
6.7015,-179.622,-145.646,-103.913,-179.677,-0.00627924,0.0128889,15.9326,0.0153309,0.0551299
6.8015,-179.605,-146.089,-103.916,-179.66,-0.0372059,0.013319,15.922,0.0152382,0.0548288
6.902,-179.587,-146.533,-103.919,-179.642,0.0166154,0.0134209,15.921,0.0152688,0.0549408
7.0015,-179.57,-146.973,-103.922,-179.625,0.0582325,0.0133885,15.934,0.0152936,0.0549855
7.102,-179.553,-147.419,-103.926,-179.608,0.113356,0.0134537,15.9647,0.0153105,0.0549404
7.202,-179.536,-147.863,-103.929,-179.591,0.170313,0.0135882,16.016,0.0153425,0.0548792
7.302,-179.518,-148.309,-103.933,-179.573,0.229398,0.0137546,16.0881,0.0153937,0.0548162
7.402,-179.501,-148.757,-103.937,-179.556,0.277474,0.0139418,16.1791,0.015461,0.0547465
7.5015,-179.484,-149.205,-103.941,-179.538,0.320491,0.0141517,16.286,0.015541,0.0546689
7.602,-179.466,-149.662,-103.945,-179.52,0.356341,0.0143841,16.4084,0.0156333,0.054584
7.702,-179.448,-150.119,-103.949,-179.503,0.376997,0.0146273,16.5406,0.0157344,0.0544981
7.8025,-179.43,-150.583,-103.954,-179.485,0.398969,0.0148835,16.6815,0.0158425,0.054409
7.9015,-179.412,-151.044,-103.958,-179.467,0.406843,0.0151367,16.8246,0.0159529,0.0543226
8.0015,-179.394,-151.513,-103.963,-179.448,0.416397,0.015398,16.9722,0.0160668,0.0542346
8.1025,-179.376,-151.991,-103.968,-179.43,0.417042,0.0156656,17.1238,0.0161831,0.054144
